Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
1678A,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
2082P,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798F,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1342K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868G,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0
2035N,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
2142E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1457K,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
2567R,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2208B,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2071C,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0190H,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2318W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0317W,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0574A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0307K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2049D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0720J,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1250K,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0069B,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1830Q,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2568S,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0846W,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
1833T,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2135X,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2169J,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
1679B,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
0390A,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
1743W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737P,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1706F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183A,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0413A,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1471A,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2501V,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0
0913T,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1128C,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2386V,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2214H,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
2154S,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1359D,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0716E,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0
2095D,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2297Y,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1066K,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1821F,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0940Y,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0404Q,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1268E,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
2536H,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
1469Y,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2356M,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0552B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2382Q,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1071Q,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
0651J,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
0039T,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2531C,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0
1709J,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
2485C,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1422X,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
2319X,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0591T,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
2078K,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1558V,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2207A,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
2344Z,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
2337R,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
2163C,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
