Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
1268E,1,0,1,0,1,0,1
2536H,1,0,1,0,1,0,1
1469Y,1,0,1,1,0,0,0
1903V,1,0,0,0,0,0,0
1712M,1,0,0,0,0,0,1
0432W,1,0,0,0,0,0,1
1869H,1,0,0,0,0,0,1
0048D,1,0,0,0,0,0,1
0486E,1,0,0,0,0,0,1
0149N,1,0,0,0,0,0,0
1309Z,1,0,0,0,0,0,0
0075H,1,0,0,0,0,0,0
0603G,1,0,0,0,0,0,0
2356M,1,0,1,0,0,0,0
0435Z,1,0,0,0,0,0,0
0613S,1,0,0,0,0,0,0
0096F,1,0,0,0,0,0,0
2211E,1,0,0,0,0,0,0
0942A,1,1,0,0,0,0,0
0903H,1,1,0,0,0,0,0
1358C,1,0,1,0,1,1,0
1477G,1,0,1,0,1,0,1
2414A,1,0,0,0,0,0,0
0947F,1,0,0,0,0,0,0
0552B,1,0,0,0,0,0,0
0608M,1,0,0,0,0,0,0
2382Q,1,0,1,0,1,0,1
0385V,1,0,1,0,0,0,1
1890F,1,0,0,0,0,0,0
1071Q,1,0,1,0,1,0,1
0932P,1,0,0,0,1,0,0
1773D,1,0,0,0,1,0,0
1060D,1,0,0,0,1,0,0
0651J,1,0,0,0,0,0,0
0039T,0,0,0,0,0,0,0
0433X,0,0,0,0,0,0,0
1645P,0,0,0,0,0,0,0
1080A,0,0,0,0,0,0,0
2531C,0,1,1,0,1,0,1
2581G,0,1,0,0,0,0,0
1487S,0,0,0,0,0,0,0
1230N,0,0,0,0,0,0,0
0107S,0,0,0,0,0,0,0
1561Y,0,0,0,0,0,0,0
2538K,0,0,0,0,0,0,0
1377Y,1,0,1,0,1,0,1
1709J,1,0,1,0,1,0,1
2485C,1,0,1,0,1,0,1
2150N,1,0,1,0,1,0,1
1422X,1,0,1,0,1,0,1
2319X,1,0,1,0,1,0,1
0591T,1,0,1,0,1,0,1
1811V,1,0,1,0,1,0,1
2078K,1,1,1,0,0,0,1
1558V,1,0,1,0,1,0,1
2207A,1,0,1,0,1,0,1
2344Z,1,0,1,0,1,0,1
2337R,1,0,1,0,0,0,1
2163C,1,0,1,0,0,0,1
0438C,1,0,1,0,0,0,0
2601D,1,0,1,0,0,0,1
0616W,1,0,1,0,1,0,1
1371R,1,0,0,0,0,0,0
0721K,1,0,0,0,0,0,1
1593H,0,0,0,0,0,0,0
0372F,1,0,1,0,0,0,0
1757L,1,0,1,0,0,0,0
0243Q,1,0,1,0,1,0,0
2564N,1,0,1,0,1,0,0
0710Y,1,0,1,0,1,1,0
1052V,1,0,1,0,1,1,0
1735M,1,0,1,0,1,1,0
1532R,1,0,1,0,1,1,0
2312P,1,0,1,0,1,1,0
1870J,1,0,1,0,0,0,0
2348D,1,0,1,0,0,0,0
0733Y,1,0,1,0,0,0,0
0653L,1,0,1,0,1,0,1
0562M,1,0,1,0,0,0,0
0441F,1,0,1,0,0,0,1
1850M,1,0,1,0,0,0,0
2328G,1,0,1,0,0,0,0
2195M,1,0,1,0,0,0,0
1509R,1,0,1,0,0,0,0
1016F,1,0,1,0,0,0,0
0218N,1,0,1,0,1,0,1
2472N,1,0,0,0,0,0,1
2180W,1,0,1,0,0,0,1
1657C,1,0,1,1,0,0,1
0785E,1,0,1,0,1,0,1
1693R,1,0,1,0,1,0,1
0637T,1,0,1,0,1,0,1
1519C,1,0,0,0,0,0,1
1082C,1,0,0,0,0,0,1
1513W,1,0,0,0,0,0,1
0951K,1,0,1,0,1,0,1
0348E,1,0,1,0,0,0,1
2039S,1,0,1,0,1,0,1
1852P,1,0,1,0,1,0,1
0365Y,1,0,1,0,1,0,1
1414N,1,0,0,0,0,0,0
0068A,1,0,1,0,0,0,0
0453T,1,0,1,0,1,1,0
1530P,1,0,1,0,1,0,1
0589R,1,0,0,0,1,0,0
0153S,1,0,0,0,1,0,0
0667B,1,0,1,0,1,0,0
1769Z,1,0,1,0,1,0,0
0738D,1,0,1,0,1,0,0
2079L,1,0,1,0,1,0,1
2481Y,1,0,1,0,1,0,1
0233E,1,0,0,0,1,0,1
0650H,1,0,1,0,1,0,1
0026E,1,1,1,1,0,0,1
2296X,1,0,1,0,1,0,1
2243P,1,0,1,0,1,0,1
2528Z,1,0,1,0,1,0,1
2492K,1,0,1,0,1,0,1
0509E,1,0,0,0,0,0,0
2134W,1,0,0,0,0,0,1
1049R,1,0,1,0,0,0,1
2209C,1,0,0,0,0,0,0
1831R,1,0,0,0,0,0,0
2360R,1,0,1,0,0,0,0
0780Z,1,0,1,0,0,0,0
1559W,1,0,0,0,0,0,0
0318X,1,0,1,0,1,0,1
0415C,1,0,1,0,0,0,1
2486D,1,0,1,0,0,0,1
2371D,1,0,1,0,1,0,1
1162P,1,0,1,0,1,0,1
0839N,1,0,1,0,0,0,1
2133V,1,0,1,0,1,0,1
1690N,1,0,1,0,0,0,1
2216K,1,0,1,0,0,0,1
0700M,1,0,1,0,0,0,1
0944C,1,0,1,0,1,0,1
1523G,1,0,1,0,1,0,1
1904W,1,0,1,0,1,0,1
1570H,1,0,1,0,1,0,1
0056M,1,0,1,0,1,0,1
1876Q,1,0,1,0,0,0,1
0178V,1,0,1,0,1,0,1
0543R,1,0,1,1,0,0,1
0532E,1,0,1,0,1,0,1
0285L,1,0,1,0,0,0,1
0911R,1,1,1,0,1,0,1
0848Y,1,0,1,1,0,0,1
1654Z,1,0,1,0,0,0,1
0087W,1,0,1,0,0,0,1
0478W,1,0,1,0,0,0,1
1595K,1,0,1,1,0,0,1
0732X,1,0,1,0,1,0,1
0824X,1,0,1,0,1,0,1
0352J,1,0,1,0,0,0,1
1446Y,1,0,1,0,1,0,1
1073S,1,0,1,0,0,0,1
0466H,1,0,1,1,0,0,1
0465G,1,0,1,0,0,0,1
2097F,1,0,1,0,0,0,1
1362G,1,0,1,0,1,0,1
1492Y,1,0,1,0,0,0,1
0864Q,1,0,1,0,0,0,1
0510F,1,0,1,0,0,0,1
0530C,1,0,1,0,1,0,1
2395E,1,0,1,0,1,0,1
0539M,1,0,1,0,1,0,1
2498R,1,0,1,0,1,0,1
2129Q,1,0,1,0,1,1,1
0905K,1,0,1,0,1,1,1
2006G,1,0,1,0,1,0,1
0668C,1,0,1,0,1,0,1
1522F,1,1,1,0,1,0,1
1029V,1,0,1,0,0,0,1
0440E,1,0,1,0,0,0,1
0665Z,1,0,1,0,0,0,1
2537J,1,0,0,0,0,0,1
2342X,1,0,1,0,0,0,1
0402N,1,0,1,0,0,0,1
0522T,1,0,1,0,1,0,1
1949V,1,0,1,1,0,0,1
0282H,1,0,0,0,0,0,0
2405Q,1,0,1,0,0,0,0
1461P,1,0,1,0,1,0,1
1854R,1,0,1,0,1,0,1
2277B,1,0,0,0,0,0,1
1127B,1,0,1,0,0,0,1
2467H,1,0,0,0,0,1,0
0249X,1,0,0,0,0,1,0
2473P,0,0,0,0,1,0,0
1650V,0,0,0,0,1,0,0
1042J,0,0,0,0,0,0,0
0436A,0,0,0,0,0,0,0
2010L,0,0,0,0,0,0,0
2090Y,0,0,0,0,0,0,0
1648S,0,0,0,0,0,0,0
0519Q,0,0,0,0,0,0,0
0611Q,0,0,0,0,0,0,0
0860L,0,0,0,0,0,0,0
0779Y,0,0,0,0,0,0,0
0856G,0,0,0,0,0,0,0
0868V,0,0,0,0,0,0,0
0757Z,0,0,0,0,0,0,0
0995H,0,0,0,0,0,0,0
2494M,0,0,0,0,0,0,0
0834H,0,0,0,0,0,0,0
